

	Unity Technologies

 Version information:
  ml-agents: 1.1.0,
  ml-agents-envs: 1.1.0,
  Communicator API: 1.5.0,
  PyTorch: 2.8.0+cpu
[WARNING] Training status file not found. Not all functions will resume properly.
[INFO] Connected to Unity environment with package version 3.0.0-exp.1 and communication version 1.5.0
[INFO] Connected new brain: 3DBall?team=0
[INFO] Hyperparameters for behavior name 3DBall: 
	trainer_type:	ppo
	hyperparameters:	
	  batch_size:	256
	  buffer_size:	5888
	  learning_rate:	0.0001763057746243507
	  beta:	0.009265553336660957
	  epsilon:	0.19212000178514674
	  lambd:	0.9405652147180767
	  num_epoch:	3
	  shared_critic:	False
	  learning_rate_schedule:	linear
	  beta_schedule:	linear
	  epsilon_schedule:	linear
	checkpoint_interval:	500000
	network_settings:	
	  normalize:	False
	  hidden_units:	64
	  num_layers:	2
	  vis_encode_type:	simple
	  memory:	None
	  goal_conditioning_type:	hyper
	  deterministic:	False
	reward_signals:	
	  extrinsic:	
	    gamma:	0.8303734447908827
	    strength:	1.0
	    network_settings:	
	      normalize:	False
	      hidden_units:	128
	      num_layers:	2
	      vis_encode_type:	simple
	      memory:	None
	      goal_conditioning_type:	hyper
	      deterministic:	False
	init_path:	None
	keep_checkpoints:	5
	even_checkpoints:	False
	max_steps:	10000000
	time_horizon:	64
	summary_freq:	10000
	threaded:	False
	self_play:	None
	behavioral_cloning:	None
[INFO] Resuming from C:\Users\nico\PycharmProjects\Group8-AI-ML\training_manager\experiments\results\nico_Windows\nico_Windows_ppo_04e80ba967\3DBall.
[INFO] Resuming training from step 999974.
[INFO] 3DBall. Step: 1000000. Time Elapsed: 7.356 s. No episode was completed since last summary. Training.
[INFO] 3DBall. Step: 1680000. Time Elapsed: 516.843 s. Mean Reward: 44.068. Std of Reward: 31.003. Training.
[INFO] 3DBall. Step: 1690000. Time Elapsed: 525.378 s. Mean Reward: 32.303. Std of Reward: 25.140. Training.
[INFO] 3DBall. Step: 1700000. Time Elapsed: 533.936 s. Mean Reward: 38.114. Std of Reward: 30.469. Training.
[INFO] 3DBall. Step: 1710000. Time Elapsed: 541.496 s. Mean Reward: 61.816. Std of Reward: 34.076. Training.
[INFO] 3DBall. Step: 1720000. Time Elapsed: 550.163 s. Mean Reward: 60.100. Std of Reward: 31.759. Training.
[INFO] 3DBall. Step: 1730000. Time Elapsed: 558.708 s. Mean Reward: 87.173. Std of Reward: 20.387. Training.
[INFO] 3DBall. Step: 1740000. Time Elapsed: 566.187 s. Mean Reward: 88.618. Std of Reward: 26.633. Training.
[INFO] 3DBall. Step: 1750000. Time Elapsed: 574.727 s. Mean Reward: 100.000. Std of Reward: 0.000. Training.
[INFO] 3DBall. Step: 1760000. Time Elapsed: 583.422 s. Mean Reward: 100.000. Std of Reward: 0.000. Training.
[INFO] 3DBall. Step: 1770000. Time Elapsed: 590.833 s. Mean Reward: 71.553. Std of Reward: 36.184. Training.
[INFO] 3DBall. Step: 1780000. Time Elapsed: 599.638 s. Mean Reward: 59.279. Std of Reward: 30.708. Training.
[INFO] 3DBall. Step: 1790000. Time Elapsed: 608.614 s. Mean Reward: 55.221. Std of Reward: 34.201. Training.
[INFO] 3DBall. Step: 1800000. Time Elapsed: 617.241 s. Mean Reward: 77.682. Std of Reward: 25.834. Training.
[INFO] 3DBall. Step: 1810000. Time Elapsed: 624.939 s. Mean Reward: 97.582. Std of Reward: 7.647. Training.
[INFO] 3DBall. Step: 1820000. Time Elapsed: 633.557 s. Mean Reward: 85.617. Std of Reward: 32.610. Training.
[INFO] 3DBall. Step: 1830000. Time Elapsed: 642.591 s. Mean Reward: 100.000. Std of Reward: 0.000. Training.
[INFO] 3DBall. Step: 1840000. Time Elapsed: 650.098 s. Mean Reward: 78.475. Std of Reward: 27.336. Training.
[INFO] 3DBall. Step: 1850000. Time Elapsed: 659.236 s. Mean Reward: 68.480. Std of Reward: 28.223. Training.
[INFO] 3DBall. Step: 1860000. Time Elapsed: 668.405 s. Mean Reward: 94.767. Std of Reward: 14.802. Training.
[INFO] 3DBall. Step: 1870000. Time Elapsed: 676.074 s. Mean Reward: 82.323. Std of Reward: 30.136. Training.
[INFO] 3DBall. Step: 1880000. Time Elapsed: 685.303 s. Mean Reward: 83.210. Std of Reward: 29.974. Training.
[INFO] 3DBall. Step: 1890000. Time Elapsed: 694.592 s. Mean Reward: 100.000. Std of Reward: 0.000. Training.
[INFO] 3DBall. Step: 1900000. Time Elapsed: 702.477 s. Mean Reward: 96.383. Std of Reward: 11.995. Training.
[INFO] 3DBall. Step: 1910000. Time Elapsed: 711.794 s. Mean Reward: 95.000. Std of Reward: 8.459. Training.
[INFO] 3DBall. Step: 1920000. Time Elapsed: 721.802 s. Mean Reward: 63.150. Std of Reward: 31.562. Training.
[INFO] 3DBall. Step: 1930000. Time Elapsed: 729.776 s. Mean Reward: 42.874. Std of Reward: 22.568. Training.
[INFO] 3DBall. Step: 1940000. Time Elapsed: 739.432 s. Mean Reward: 34.377. Std of Reward: 16.107. Training.
[INFO] 3DBall. Step: 1950000. Time Elapsed: 749.209 s. Mean Reward: 46.941. Std of Reward: 30.903. Training.
[INFO] 3DBall. Step: 1960000. Time Elapsed: 758.610 s. Mean Reward: 83.238. Std of Reward: 28.259. Training.
[INFO] 3DBall. Step: 1970000. Time Elapsed: 766.416 s. Mean Reward: 100.000. Std of Reward: 0.000. Training.
[INFO] 3DBall. Step: 1980000. Time Elapsed: 775.715 s. Mean Reward: 91.725. Std of Reward: 27.445. Training.
[INFO] 3DBall. Step: 1990000. Time Elapsed: 785.205 s. Mean Reward: 92.350. Std of Reward: 22.950. Training.
[INFO] 3DBall. Step: 2000000. Time Elapsed: 793.122 s. Mean Reward: 100.000. Std of Reward: 0.000. Training.
[INFO] Exported C:\Users\nico\PycharmProjects\Group8-AI-ML\training_manager\experiments\results\nico_Windows\nico_Windows_ppo_04e80ba967\3DBall\3DBall-1999993.onnx
[INFO] 3DBall. Step: 2010000. Time Elapsed: 802.574 s. Mean Reward: 99.610. Std of Reward: 1.170. Training.
[INFO] 3DBall. Step: 2020000. Time Elapsed: 812.207 s. Mean Reward: 100.000. Std of Reward: 0.000. Training.
[INFO] 3DBall. Step: 2030000. Time Elapsed: 820.199 s. Mean Reward: 72.464. Std of Reward: 41.708. Training.
[INFO] 3DBall. Step: 2040000. Time Elapsed: 829.313 s. Mean Reward: 93.182. Std of Reward: 21.561. Training.
[INFO] 3DBall. Step: 2050000. Time Elapsed: 838.659 s. Mean Reward: 88.246. Std of Reward: 28.122. Training.
[INFO] 3DBall. Step: 2060000. Time Elapsed: 846.665 s. Mean Reward: 93.678. Std of Reward: 17.882. Training.
[INFO] 3DBall. Step: 2070000. Time Elapsed: 856.118 s. Mean Reward: 100.000. Std of Reward: 0.000. Training.
[INFO] 3DBall. Step: 2080000. Time Elapsed: 866.441 s. Mean Reward: 83.687. Std of Reward: 29.185. Training.
[INFO] 3DBall. Step: 2090000. Time Elapsed: 874.089 s. Mean Reward: 100.000. Std of Reward: 0.000. Training.
[INFO] 3DBall. Step: 2100000. Time Elapsed: 883.651 s. Mean Reward: 90.927. Std of Reward: 28.690. Training.
[INFO] 3DBall. Step: 2110000. Time Elapsed: 892.805 s. Mean Reward: 100.000. Std of Reward: 0.000. Training.
[INFO] 3DBall. Step: 2120000. Time Elapsed: 902.379 s. Mean Reward: 84.892. Std of Reward: 28.965. Training.
[INFO] 3DBall. Step: 2130000. Time Elapsed: 910.715 s. Mean Reward: 84.454. Std of Reward: 26.183. Training.
[INFO] 3DBall. Step: 2140000. Time Elapsed: 919.910 s. Mean Reward: 59.237. Std of Reward: 22.149. Training.
[INFO] 3DBall. Step: 2150000. Time Elapsed: 929.342 s. Mean Reward: 40.938. Std of Reward: 19.159. Training.
[INFO] 3DBall. Step: 2160000. Time Elapsed: 937.037 s. Mean Reward: 38.596. Std of Reward: 15.760. Training.
[INFO] 3DBall. Step: 2170000. Time Elapsed: 946.606 s. Mean Reward: 31.984. Std of Reward: 13.052. Training.
[INFO] 3DBall. Step: 2180000. Time Elapsed: 955.816 s. Mean Reward: 30.929. Std of Reward: 16.840. Training.
[INFO] 3DBall. Step: 2190000. Time Elapsed: 963.788 s. Mean Reward: 57.874. Std of Reward: 20.425. Training.
[INFO] 3DBall. Step: 2200000. Time Elapsed: 973.238 s. Mean Reward: 50.139. Std of Reward: 22.095. Training.
[INFO] 3DBall. Step: 2210000. Time Elapsed: 982.408 s. Mean Reward: 50.910. Std of Reward: 20.609. Training.
[INFO] 3DBall. Step: 2220000. Time Elapsed: 990.515 s. Mean Reward: 40.204. Std of Reward: 29.128. Training.
[INFO] 3DBall. Step: 2230000. Time Elapsed: 999.814 s. Mean Reward: 37.992. Std of Reward: 21.834. Training.
[INFO] 3DBall. Step: 2240000. Time Elapsed: 1008.836 s. Mean Reward: 44.238. Std of Reward: 16.611. Training.
[INFO] 3DBall. Step: 2250000. Time Elapsed: 1017.273 s. Mean Reward: 86.483. Std of Reward: 27.080. Training.
[INFO] 3DBall. Step: 2260000. Time Elapsed: 1026.574 s. Mean Reward: 81.133. Std of Reward: 36.552. Training.
[INFO] 3DBall. Step: 2270000. Time Elapsed: 1035.859 s. Mean Reward: 95.875. Std of Reward: 13.294. Training.
[INFO] 3DBall. Step: 2280000. Time Elapsed: 1045.849 s. Mean Reward: 93.342. Std of Reward: 22.083. Training.
[INFO] 3DBall. Step: 2290000. Time Elapsed: 1053.475 s. Mean Reward: 100.000. Std of Reward: 0.000. Training.
[INFO] 3DBall. Step: 2300000. Time Elapsed: 1062.738 s. Mean Reward: 100.000. Std of Reward: 0.000. Training.
[INFO] 3DBall. Step: 2310000. Time Elapsed: 1071.717 s. Mean Reward: 94.517. Std of Reward: 18.186. Training.
[INFO] 3DBall. Step: 2320000. Time Elapsed: 1079.656 s. Mean Reward: 62.553. Std of Reward: 29.601. Training.
[INFO] 3DBall. Step: 2330000. Time Elapsed: 1089.178 s. Mean Reward: 56.675. Std of Reward: 27.597. Training.
[INFO] 3DBall. Step: 2340000. Time Elapsed: 1098.468 s. Mean Reward: 76.057. Std of Reward: 22.917. Training.
[INFO] 3DBall. Step: 2350000. Time Elapsed: 1106.426 s. Mean Reward: 60.067. Std of Reward: 26.936. Training.
[INFO] 3DBall. Step: 2360000. Time Elapsed: 1115.358 s. Mean Reward: 81.858. Std of Reward: 21.297. Training.
[INFO] 3DBall. Step: 2370000. Time Elapsed: 1124.846 s. Mean Reward: 100.000. Std of Reward: 0.000. Training.
[INFO] 3DBall. Step: 2380000. Time Elapsed: 1132.522 s. Mean Reward: 83.383. Std of Reward: 37.156. Training.
[INFO] 3DBall. Step: 2390000. Time Elapsed: 1141.912 s. Mean Reward: 100.000. Std of Reward: 0.000. Training.
